7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
45019930,1996,0.737452,0,0,0,0,0.204633,0,0,
45021001,1031,0.100346,0,0,0,0,0.823529,0,0,
45021002,1787,0.580275,0,0,0,0,0.37844,0,0,
45021004,1115,0.0942761,0,0,0,0,0.872054,0,0,
45021005,961,0.325926,0,0,0,0,0.640741,0,0,
45021006,1357,0.174935,0,0,0,0,0.78329,0,0,
45021010,1539,0.294118,0,0,0,0,0.636829,0,0,
45021012,765,0.774059,0,0,0,0,0.179916,0,0,
45021013,1235,0.81701,0,0,0,0,0.149485,0,0,
45021014,1062,0.886029,0,0,0,0,0.0845588,0,0,
45021015,1241,0.635593,0,0,0,0,0.333333,0,0,
45021016,1067,0.419214,0,0,0,0,0.519651,0,0,
45021017,1142,0.332,0,0,0,0,0.64,0,0,
45021018,1982,0.270661,0,0,0,0,0.683884,0,0,
45021021,853,0.56621,0,0,0,0,0.365297,0,0,
45021024,1106,0.113111,0,0,0,0,0.856041,0,0,
45021025,1342,0.331307,0,0,0,0,0.635258,0,0,
45081014,667,0.156716,0,0,0,0,0.835821,0,0,
45021028,732,0.747706,0,0,0,0,0.211009,0,0,
45021030,881,0.138889,0,0,0,0,0.805556,0,0,
45023001,1198,0.74026,0,0,0,0,0.186147,0,0,
45023002,727,0.26087,0,0,0,0,0.669565,0,0,
45023003,933,0.618421,0,0,0,0,0.355263,0,0,
45039001,63,0.846154,0,0,0,0,0.153846,0,0,
45023009,1043,0.311419,0,0,0,0,0.626298,0,0,
45023010,1632,0.720365,0,0,0,0,0.215805,0,0,
45023011,1430,0.43956,0,0,0,0,0.525275,0,0,
45023012,209,0.756757,0,0,0,0,0.22973,0,0,
45023013,773,0.33758,0,0,0,0,0.579618,0,0,
45023018,1010,0.29064,0,0,0,0,0.62069,0,0,
45023021,1369,0.406877,0,0,0,0,0.538682,0,0,
45023022,1312,0.384956,0,0,0,0,0.566372,0,0,
45023023,405,0.409524,0,0,0,0,0.561905,0,0,
45023024,545,0.552632,0,0,0,0,0.403509,0,0,
45023029,1684,0.78125,0,0,0,0,0.173611,0,0,
45023030,1006,0.89,0,0,0,0,0.075,0,0,
45023031,1579,0.622549,0,0,0,0,0.308824,0,0,
45023032,1191,0.8159,0,0,0,0,0.142259,0,0,
450251,619,0.423913,0,0,0,0,0.538043,0,0,
