,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
DALZELL 1,1557,174,7,3,6,2,174,3,3,372,,,,,,,,,,,,,,,,,,
DALZELL 2,1161,146,5,2,7,1,124,1,5,291,,,,,,,,,,,,,,,,,,
OSWEGO,1274,137,1,0,6,1,142,2,1,290,,,,,,,,,,,,,,,,,,
MAYESVILLE,647,234,0,0,1,1,21,0,1,258,,,,,,,,,,,,,,,,,,
SALEM,430,150,3,0,0,0,20,1,0,174,,,,,,,,,,,,,,,,,,
OAKLAND PLANTATION 2,1074,102,2,0,1,6,120,3,2,236,,,,,,,,,,,,,,,,,,
MCCRAYS MILL 1,1462,147,3,0,2,1,162,1,1,317,,,,,,,,,,,,,,,,,,
ST.JOHN,1228,342,2,0,4,0,146,2,0,496,,,,,,,,,,,,,,,,,,
MAYEWOOD,1373,188,3,0,3,2,180,4,2,382,,,,,,,,,,,,,,,,,,
TURKEY CREEK,1251,218,4,0,6,3,139,3,3,376,,,,,,,,,,,,,,,,,,
MULBERRY,1191,202,3,0,1,1,56,1,2,266,,,,,,,,,,,,,,,,,,
SALTERSTOWN,995,125,3,1,3,0,99,2,1,234,,,,,,,,,,,,,,,,,,
FOLSOM PARK,1801,393,7,1,4,1,38,2,4,450,,,,,,,,,,,,,,,,,,
GREEN SWAMP,2145,227,4,1,6,0,167,1,2,408,,,,,,,,,,,,,,,,,,
PALMETTO PARK,1511,149,2,1,6,0,91,2,3,254,,,,,,,,,,,,,,,,,,
BUNRS-DOWNS,970,90,2,0,2,0,98,1,0,193,,,,,,,,,,,,,,,,,,
SECOND MILL,1691,51,3,1,2,3,171,2,2,235,,,,,,,,,,,,,,,,,,
SWAN LAKE,1246,91,3,0,1,1,90,0,1,187,,,,,,,,,,,,,,,,,,
MORRIS COLLEGE,1621,294,4,0,0,0,6,3,0,307,,,,,,,,,,,,,,,,,,
HAMPTON PARK,842,57,2,0,1,1,67,0,3,131,,,,,,,,,,,,,,,,,,
CROSSWELL,1612,358,3,0,2,1,55,1,1,421,,,,,,,,,,,,,,,,,,
LORING,1194,237,5,0,1,0,25,1,0,269,,,,,,,,,,,,,,,,,,
LEMIRA,1437,364,6,1,3,1,45,4,1,425,,,,,,,,,,,,,,,,,,
MAGNOLIA-HARMONY,975,169,0,1,2,0,18,2,0,192,,,,,,,,,,,,,,,,,,
STONE HILL,750,277,0,0,0,0,2,0,0,279,,,,,,,,,,,,,,,,,,
SOUTH RED BAY,999,310,4,0,2,0,12,0,1,329,,,,,,,,,,,,,,,,,,
WILDER,1033,299,1,1,1,1,21,1,0,325,,,,,,,,,,,,,,,,,,
POCOTALIGO 1,2019,184,5,0,5,2,218,3,1,418,,,,,,,,,,,,,,,,,,
SAVAGE-GLOVER,669,204,1,1,0,0,2,3,0,211,,,,,,,,,,,,,,,,,,
BATES,759,246,1,0,1,0,4,1,0,253,,,,,,,,,,,,,,,,,,
BIRNIE,1219,312,7,0,3,2,7,3,1,335,,,,,,,,,,,,,,,,,,
SOUTH LIBERTY,717,121,2,0,0,2,18,1,0,144,,,,,,,,,,,,,,,,,,
MILLWOOD,754,92,4,1,3,1,57,4,2,164,,,,,,,,,,,,,,,,,,
CAUSEWAY BRANCH 1,1430,97,3,0,8,1,134,0,5,248,,,,,,,,,,,,,,,,,,
MCCRAYS MILL 2,1812,136,2,0,3,3,208,1,5,358,,,,,,,,,,,,,,,,,,
SUMTER HIGH 1,696,65,2,0,3,2,90,0,1,163,,,,,,,,,,,,,,,,,,
SUNSET,1489,164,2,0,4,1,123,0,1,295,,,,,,,,,,,,,,,,,,
DELAINE,1567,364,3,3,5,1,50,1,2,429,,,,,,,,,,,,,,,,,,
CHERRYVALE,838,167,4,0,0,0,71,1,1,244,,,,,,,,,,,,,,,,,,
MANCHESTER FOREST,1543,240,4,0,5,1,173,4,1,428,,,,,,,,,,,,,,,,,,
PINEWOOD,1850,328,6,1,8,0,229,4,0,576,,,,,,,,,,,,,,,,,,
POCOTALIGO 2,1457,217,5,2,4,0,139,1,2,370,,,,,,,,,,,,,,,,,,
PRIVATEER,1842,113,8,2,5,6,253,2,3,392,,,,,,,,,,,,,,,,,,
EBENEZER 1,1381,220,2,0,8,1,135,3,4,373,,,,,,,,,,,,,,,,,,
WILSON HALL,1861,40,0,0,1,2,172,2,3,220,,,,,,,,,,,,,,,,,,
FURMAN,1550,94,9,2,11,3,278,4,3,404,,,,,,,,,,,,,,,,,,
SPECTRUM,1130,194,1,0,2,0,47,0,3,247,,,,,,,,,,,,,,,,,,
ST. PAUL,1855,282,9,1,10,1,123,8,1,435,,,,,,,,,,,,,,,,,,
SHAW,675,17,2,0,3,1,39,2,2,66,,,,,,,,,,,,,,,,,,
THOMAS SUMTER,1205,232,1,0,2,2,65,0,1,303,,,,,,,,,,,,,,,,,,
SUMTER HIGH 2,1462,137,1,2,4,1,148,1,2,296,,,,,,,,,,,,,,,,,,
EBENEZER 2,1544,199,7,1,4,0,135,0,2,348,,,,,,,,,,,,,,,,,,
GREEN SWAMP 2,1089,29,2,0,3,0,85,0,1,120,,,,,,,,,,,,,,,,,,
CAUSEWAY BRANCH 2,855,63,0,0,4,1,72,2,2,144,,,,,,,,,,,,,,,,,,
ADAMSBURG,668,22,2,0,2,0,52,1,0,79,,,,,,,,,,,,,,,,,,
BLACK ROCK,403,93,4,0,1,0,37,0,0,135,,,,,,,,,,,,,,,,,,
BONHAM,891,82,2,0,5,0,48,3,0,140,,,,,,,,,,,,,,,,,,
BUFFALO BOX 1,879,34,5,0,7,0,69,6,5,126,,,,,,,,,,,,,,,,,,
CARLISLE,544,181,0,0,1,2,4,1,1,190,,,,,,,,,,,,,,,,,,
CROSS KEYS,807,94,4,0,4,1,75,2,0,180,,,,,,,,,,,,,,,,,,
EAST BUFFALO,368,80,0,0,1,0,7,3,0,91,,,,,,,,,,,,,,,,,,
EXCELSIOR,1420,173,3,0,1,0,70,1,1,249,,,,,,,,,,,,,,,,,,
JONESVILLE BOX 1,1003,86,3,1,5,0,122,5,2,224,,,,,,,,,,,,,,,,,,
JONESVILLE BOX 2,1146,143,10,0,3,1,114,1,3,275,,,,,,,,,,,,,,,,,,
KELTON,919,116,13,0,6,1,78,3,0,217,,,,,,,,,,,,,,,,,,
LOCKHART,628,45,7,0,8,2,76,2,0,140,,,,,,,,,,,,,,,,,,
MONARCH BOX 1,1175,69,12,0,7,2,107,5,4,206,,,,,,,,,,,,,,,,,,
MONARCH BOX 2,380,30,2,0,2,0,26,0,1,61,,,,,,,,,,,,,,,,,,
PUTMAN,634,29,5,0,3,0,69,2,0,108,,,,,,,,,,,,,,,,,,
SANTUCK,721,202,10,2,2,1,42,2,1,262,,,,,,,,,,,,,,,,,,
UNION WARD 1 BOX 1,648,87,2,0,3,0,30,1,0,123,,,,,,,,,,,,,,,,,,
UNION WARD 1 BOX 2,1102,204,9,1,2,0,41,0,0,257,,,,,,,,,,,,,,,,,,
UNION WARD 2,1060,197,2,1,2,0,18,0,0,220,,,,,,,,,,,,,,,,,,
UNION WARD 3,713,138,3,0,5,0,16,2,0,164,,,,,,,,,,,,,,,,,,
UNION WARD 4 BOX 1,850,59,8,0,4,2,34,1,0,108,,,,,,,,,,,,,,,,,,
UNION WARD 4 BOX 2,420,79,2,1,0,0,9,2,0,93,,,,,,,,,,,,,,,,,,
WEST SPRINGS,305,31,0,0,2,1,25,1,0,60,,,,,,,,,,,,,,,,,,
BLACK RIVER,344,71,0,0,1,1,38,2,0,113,,,,,,,,,,,,,,,,,,
BLOOMINGVALE,786,260,7,0,1,5,102,2,2,379,,,,,,,,,,,,,,,,,,
CADES,564,130,1,0,0,0,61,0,1,193,,,,,,,,,,,,,,,,,,
CEDAR SWAMP,348,45,1,0,0,0,34,0,0,80,,,,,,,,,,,,,,,,,,
CENTRAL,933,223,3,0,1,1,82,1,0,311,,,,,,,,,,,,,,,,,,
EARLES,565,59,2,0,2,1,139,0,2,205,,,,,,,,,,,,,,,,,,
GREELEYVILLE,1390,430,6,1,2,0,72,4,0,515,,,,,,,,,,,,,,,,,,
HARMONY,296,43,1,0,0,1,84,0,0,129,,,,,,,,,,,,,,,,,,
HEBRON,460,29,3,0,0,0,149,0,3,184,,,,,,,,,,,,,,,,,,
HEMINGWAY,1621,379,2,0,0,3,130,4,2,520,,,,,,,,,,,,,,,,,,
HENRY-POPLAR HILL,596,118,2,0,1,2,78,2,0,203,,,,,,,,,,,,,,,,,,
INDIANTOWN,1444,476,3,0,2,0,54,2,0,537,,,,,,,,,,,,,,,,,,
KINGSTREE NO.1,3049,423,7,1,5,1,273,5,1,716,,,,,,,,,,,,,,,,,,
KINGSTREE NO.2,1014,247,1,0,5,1,6,3,1,264,,,,,,,,,,,,,,,,,,
KINGSTREE NO.3,2403,554,15,2,1,2,24,5,0,603,,,,,,,,,,,,,,,,,,
KINGSTREE NO.4,1327,276,5,0,5,1,49,1,1,338,,,,,,,,,,,,,,,,,,
LANE,881,367,1,0,0,0,19,2,0,389,,,,,,,,,,,,,,,,,,
MORRISVILLE,240,117,1,0,0,0,3,0,0,121,,,,,,,,,,,,,,,,,,
MOUNT VERNON,414,99,5,0,2,0,48,1,1,156,,,,,,,,,,,,,,,,,,
NESMITH,581,220,6,2,3,1,17,2,0,251,,,,,,,,,,,,,,,,,,
PERGAMOS,219,45,0,0,1,0,33,0,0,79,,,,,,,,,,,,,,,,,,
PINEY FOREST,339,5,1,0,2,0,154,1,0,163,,,,,,,,,,,,,,,,,,
SALTERS,1079,363,1,0,4,0,38,1,2,409,,,,,,,,,,,,,,,,,,
SANDY BAY,352,32,1,0,1,0,74,1,0,109,,,,,,,,,,,,,,,,,,
SINGLETARY,269,92,1,1,0,0,10,1,0,105,,,,,,,,,,,,,,,,,,
SUTTONS,229,38,1,0,0,1,62,0,0,102,,,,,,,,,,,,,,,,,,
TRIO,893,292,6,1,2,1,19,0,0,321,,,,,,,,,,,,,,,,,,
MUDDY CREEK,757,111,3,0,1,3,157,2,4,281,,,,,,,,,,,,,,,,,,
Bethany,2074,71,9,2,12,2,478,7,2,583,,,,,,,,,,,,,,,,,,
Bethel,1570,118,3,0,9,2,245,4,4,385,,,,,,,,,,,,,,,,,,
River Hills,2503,126,2,0,4,1,429,1,2,565,,,,,,,,,,,,,,,,,,
Bethel School,2301,111,8,0,12,0,428,5,3,567,,,,,,,,,,,,,,,,,,
Bowling Green,1440,64,7,0,7,2,327,10,4,421,,,,,,,,,,,,,,,,,,
Bullocks Creek,407,25,4,0,2,0,82,0,0,113,,,,,,,,,,,,,,,,,,
Cannon Mill,1581,99,10,0,12,1,205,2,5,334,,,,,,,,,,,,,,,,,,
Catawba,2700,173,6,0,5,1,519,1,3,708,,,,,,,,,,,,,,,,,,
Clover,1560,73,4,0,8,2,237,7,0,331,,,,,,,,,,,,,,,,,,
Hampton Mill,1509,85,2,2,2,2,206,7,1,307,,,,,,,,,,,,,,,,,,
Cotton Belt,1860,61,6,0,2,1,290,4,3,367,,,,,,,,,,,,,,,,,,
Delphia,1832,92,7,1,7,3,362,8,1,481,,,,,,,,,,,,,,,,,,
Ebenezer,1315,63,2,0,3,0,175,2,4,249,,,,,,,,,,,,,,,,,,
Filbert,1765,76,6,1,9,3,319,1,3,418,,,,,,,,,,,,,,,,,,
Fort Mill No. 1,2935,202,9,0,16,5,463,5,6,706,,,,,,,,,,,,,,,,,,
Windjammer,2252,146,2,1,13,2,318,2,10,494,,,,,,,,,,,,,,,,,,
Fort Mill No. 3,2245,239,4,0,11,3,252,2,10,521,,,,,,,,,,,,,,,,,,
Hickory Grove,1057,74,9,1,4,0,214,4,1,307,,,,,,,,,,,,,,,,,,
Highland Park,1385,211,5,0,5,1,122,2,4,350,,,,,,,,,,,,,,,,,,
Lakeshore,2176,174,4,0,7,1,353,4,3,546,,,,,,,,,,,,,,,,,,
Independence,929,59,5,0,2,0,192,2,0,260,,,,,,,,,,,,,,,,,,
McConnells,1499,125,6,0,3,1,262,4,1,402,,,,,,,,,,,,,,,,,,
Mt. Holly,2996,337,9,0,3,1,342,4,4,700,,,,,,,,,,,,,,,,,,
Newport,1776,125,6,0,4,1,273,2,6,417,,,,,,,,,,,,,,,,,,
Mt. Gallant,1664,102,6,1,3,1,293,0,2,408,,,,,,,,,,,,,,,,,,
Northside,1528,184,8,1,6,7,115,5,7,333,,,,,,,,,,,,,,,,,,
Oakridge,2514,181,6,4,4,1,434,4,6,640,,,,,,,,,,,,,,,,,,
Ogden,2120,314,10,1,7,1,280,6,4,623,,,,,,,,,,,,,,,,,,
Oakwood,2139,143,10,1,11,4,224,2,3,398,,,,,,,,,,,,,,,,,,
Airport,1673,140,7,1,1,2,271,1,6,429,,,,,,,,,,,,,,,,,,
Rock Hill No. 2,1903,415,7,0,3,0,10,1,2,438,,,,,,,,,,,,,,,,,,
Rock Hill No. 3,2300,611,14,0,2,1,32,3,0,663,,,,,,,,,,,,,,,,,,
Rock Hill No. 4,2383,254,10,0,6,2,156,3,3,434,,,,,,,,,,,,,,,,,,
Rock Hill No. 5,1774,146,1,0,3,4,130,4,4,292,,,,,,,,,,,,,,,,,,
Rock Hill No. 6,1557,345,6,0,2,0,59,3,1,416,,,,,,,,,,,,,,,,,,
Rock Hill No. 7,2751,312,7,1,2,2,215,1,11,551,,,,,,,,,,,,,,,,,,
Rock Hill No. 8,1129,283,6,1,4,0,22,1,1,318,,,,,,,,,,,,,,,,,,
Sharon,1385,134,16,1,5,1,235,3,6,401,,,,,,,,,,,,,,,,,,
Smyrna,687,17,0,0,5,0,167,6,2,197,,,,,,,,,,,,,,,,,,
Tirzah,2231,83,6,1,5,4,359,2,3,463,,,,,,,,,,,,,,,,,,
York No. 1,2099,272,3,0,4,1,162,6,1,449,,,,,,,,,,,,,,,,,,
York No. 2,3046,259,8,3,8,0,268,5,3,554,,,,,,,,,,,,,,,,,,
India Hook,1577,122,3,0,7,0,231,6,3,372,,,,,,,,,,,,,,,,,,
Edgewood,2468,601,12,0,6,0,64,4,1,688,,,,,,,,,,,,,,,,,,
Fewell Park,1230,55,1,1,4,2,140,0,2,205,,,,,,,,,,,,,,,,,,
Fort Mill No. 4,1658,229,6,2,5,0,189,0,2,433,,,,,,,,,,,,,,,,,,
Lesslie,1453,57,3,0,2,2,290,4,1,359,,,,,,,,,,,,,,,,,,
Rosewood,3537,398,15,3,15,6,315,4,9,765,,,,,,,,,,,,,,,,,,
Northwestern,2581,101,1,0,6,1,316,1,2,428,,,,,,,,,,,,,,,,,,
Shoreline,2416,149,3,3,6,1,341,2,5,510,,,,,,,,,,,,,,,,,,
Ebinport,3168,227,7,0,7,2,325,3,5,576,,,,,,,,,,,,,,,,,,
University,1322,98,3,0,6,4,133,4,4,252,,,,,,,,,,,,,,,,,,
Fort Mill No. 5,2382,186,2,0,14,1,353,3,10,569,,,,,,,,,,,,,,,,,,
Fort Mill No. 6,1823,91,2,0,11,2,272,2,10,390,,,,,,,,,,,,,,,,,,
Allison Creek,2805,156,2,2,13,1,506,2,11,693,,,,,,,,,,,,,,,,,,
Anderson Road,4418,445,22,1,16,2,318,4,9,817,,,,,,,,,,,,,,,,,,
New Home,2433,158,4,0,14,1,379,2,4,562,,,,,,,,,,,,,,,,,,
Fort Mill No. 2,2897,158,6,0,6,1,499,5,5,680,,,,,,,,,,,,,,,,,,
Dobys Bridge,2182,116,4,0,9,2,380,3,10,524,,,,,,,,,,,,,,,,,,
Riverview,1541,108,7,0,9,1,227,3,0,355,,,,,,,,,,,,,,,,,,
Orchard Park,1919,99,2,1,10,1,276,0,6,395,,,,,,,,,,,,,,,,,,
Lakewood,1521,91,5,0,2,3,269,5,3,378,,,,,,,,,,,,,,,,,,
Laurel Creek,1380,61,3,0,4,0,241,1,1,311,,,,,,,,,,,,,,,,,,
Steele Creek,2707,217,6,1,12,2,387,2,2,629,,,,,,,,,,,,,,,,,,
Pleasant Road,1984,124,2,0,8,0,331,0,3,468,,,,,,,,,,,,,,,,,,
Gold Hill,2220,149,4,2,11,1,372,1,12,552,,,,,,,,,,,,,,,,,,
Waterstone,2202,199,8,2,13,2,300,2,7,533,,,,,,,,,,,,,,,,,,
Palmetto,2513,175,6,0,11,1,351,1,8,553,,,,,,,,,,,,,,,,,,
Tega Cay,1516,106,2,0,3,6,224,1,8,350,,,,,,,,,,,,,,,,,,
Adnah,893,69,1,0,4,2,125,2,2,205,,,,,,,,,,,,,,,,,,
Harvest,1195,97,6,1,5,2,176,1,0,288,,,,,,,,,,,,,,,,,,
Old Pointe,1723,179,3,2,9,0,185,1,2,381,,,,,,,,,,,,,,,,,,
Tools Fork,1708,132,3,0,1,1,229,1,2,369,,,,,,,,,,,,,,,,,,
Carolina,1286,73,2,0,3,0,174,1,2,255,,,,,,,,,,,,,,,,,,
Fairgrounds,1924,433,10,0,4,3,54,2,1,507,,,,,,,,,,,,,,,,,,
Ferry Branch,984,46,8,1,9,3,195,6,1,269,,,,,,,,,,,,,,,,,,
Friendship,666,59,3,0,3,1,151,6,1,224,,,,,,,,,,,,,,,,,,
Hollis Lakes,2038,206,4,0,6,4,222,0,3,445,,,,,,,,,,,,,,,,,,
Hopewell,998,60,1,0,3,1,158,1,4,228,,,,,,,,,,,,,,,,,,
Manchester,1438,126,6,0,7,0,153,2,2,296,,,,,,,,,,,,,,,,,,
Mill Creek,1148,76,2,0,4,2,214,4,1,303,,,,,,,,,,,,,,,,,,
Nation Ford,2441,219,4,0,15,3,355,5,2,603,,,,,,,,,,,,,,,,,,
Neelys Creek,988,72,5,0,3,0,185,0,2,267,,,,,,,,,,,,,,,,,,
Pole Branch,1969,95,3,0,7,0,278,2,2,387,,,,,,,,,,,,,,,,,,
Six Mile,1195,52,5,1,7,0,257,3,4,329,,,,,,,,,,,,,,,,,,
Springdale,1269,187,3,1,11,2,133,3,3,343,,,,,,,,,,,,,,,,,,
Springfield,2211,101,3,0,8,1,406,3,4,526,,,,,,,,,,,,,,,,,,
Stateline,1466,154,5,0,7,0,224,0,4,394,,,,,,,,,,,,,,,,,,
Wylie,1452,71,0,0,5,0,209,4,3,292,,,,,,,,,,,,,,,,,,
Roosevelt,1582,164,5,1,3,1,195,1,4,374,,,,,,,,,,,,,,,,,,
Larne,1364,106,3,3,4,1,207,3,2,329,,,,,,,,,,,,,,,,,,
Rock Creek,1631,78,4,0,1,1,270,3,3,360,,,,,,,,,,,,,,,,,,
River's Edge,1894,92,3,1,14,2,346,2,4,464,,,,,,,,,,,,,,,,,,
Baxter,1443,65,2,0,4,3,186,1,4,265,,,,,,,,,,,,,,,,,,
Kanawha,1549,106,0,0,4,1,258,1,2,372,,,,,,,,,,,,,,,,,,
